area,count,endTime,latitude,location,longitude,provider,siteID,startTime,usmart_id
Stirling,15,2023-08-18T00:00:00,55.980687,Carbeth,-4.36571,John Muir Way,JMW0199,2023-08-17T00:00:00,"fa9f8d3f069b40765aa1d5f7aacd3c12"
Stirling,19,2023-08-19T00:00:00,55.980687,Carbeth,-4.36571,John Muir Way,JMW0199,2023-08-18T00:00:00,"133c6f9626547089a92aaa24b1b061ee"
Stirling,48,2023-08-21T00:00:00,55.980687,Carbeth,-4.36571,John Muir Way,JMW0199,2023-08-20T00:00:00,"91103b3aee368ebcf8ae65bdad278187"
Stirling,25,2023-08-29T00:00:00,55.980687,Carbeth,-4.36571,John Muir Way,JMW0199,2023-08-28T00:00:00,"55181502d7b943a94bdc2434a08b7ecf"
Stirling,64,2023-08-10T00:00:00,56.044935,Croftamie,-4.44566,John Muir Way,JMW0200,2023-08-09T00:00:00,"fc01e980252176adc78245106ada7092"
Stirling,58,2023-08-15T00:00:00,56.044935,Croftamie,-4.44566,John Muir Way,JMW0200,2023-08-14T00:00:00,"da33f225458d60679dc703a1fb6d462e"
Stirling,12,2023-08-23T00:00:00,56.044935,Croftamie,-4.44566,John Muir Way,JMW0200,2023-08-22T00:00:00,"ba3be8fae3fd0bd26c986af9607a6a3b"
Stirling,22,2023-08-26T00:00:00,56.044935,Croftamie,-4.44566,John Muir Way,JMW0200,2023-08-25T00:00:00,"b405fcce873398c54bbd2551a47eb274"
Stirling,47,2023-08-29T00:00:00,56.044935,Croftamie,-4.44566,John Muir Way,JMW0200,2023-08-28T00:00:00,"3f40f2cbcde9916f14cb091e57a3a5d9"
Falkirk,142,2023-09-03T00:00:00,56.00424,Blackness,-3.5261,John Muir Way,JMW0196,2023-09-02T00:00:00,"d47bc8bed57de77eb74ccec0fa7ec418"
Stirling,0,2019-05-06T00:00:00,56.044935,Croftamie,-4.44566,John Muir Way,JMW0200,2019-05-05T00:00:00,"abadd61c3e34c0af299a550b1e0e974a"
Stirling,0,2019-05-07T00:00:00,56.044935,Croftamie,-4.44566,John Muir Way,JMW0200,2019-05-06T00:00:00,"edfc702da497f2e1448fa58d4180f616"
Stirling,0,2019-05-09T00:00:00,56.044935,Croftamie,-4.44566,John Muir Way,JMW0200,2019-05-08T00:00:00,"e951a84464c9e66f9d92548278fe5cbd"
